patient	BRCA1	BRCA2
TCGA-BH-A0HQ	2.8014	0.2642
TCGA-E2-A3DX	2.3677	1.2516
TCGA-E2-A1L6	2.6738	1.5064
TCGA-B6-A0I2	1.5415	-0.0574
TCGA-D8-A73X	2.3871	0.9268
TCGA-A8-A084	2.9562	2.5996
TCGA-A7-A2KD	4.7819	3.002
TCGA-AR-A252	2.0465	0.9716
TCGA-AR-A24L	3.7248	0.6969
TCGA-AN-A0XR	2.1894	2.2573
TCGA-BH-A18V	4.3119	3.9874
TCGA-B6-A0WY	2.1734	1.7744
TCGA-EW-A423	2.2113	0.3796
TCGA-C8-A12X	2.036	-0.3201
TCGA-E9-A5UO	4.3169	1.5415
TCGA-BH-A18U	4.5167	2.77
TCGA-BH-A0C0	0.8805	3.1829
TCGA-A8-A09I	2.982	2.7805
TCGA-E9-A22D	2.9109	1.6512
TCGA-E2-A1LE	2.0183	0.9642
TCGA-E2-A15F	3.1195	1.9188
TCGA-D8-A27L	3.0876	2.0465
TCGA-C8-A12O	3.3856	0.688
TCGA-D8-A1XG	3.2359	1.3567
TCGA-C8-A8HQ	3.027	1.46
TCGA-E2-A15M	2.7161	2.0604
TCGA-A8-A083	2.2513	0.3907
TCGA-AC-A3TN	1.6374	-1.9942
TCGA-B6-A0IC	3.2435	1.6604
TCGA-A2-A0CW	3.2282	3.6669
TCGA-A8-A092	5.07	2.043
TCGA-D8-A1XS	4.3765	1.8762
TCGA-BH-A18Q	2.8361	2.4359
TCGA-AO-A12B	3.0323	0.7233
TCGA-AC-A3EH	2.5036	1.0847
TCGA-A7-A26F	2.0111	2.5833
TCGA-BH-A0B2	2.2872	1.1512
TCGA-AO-A12F	2.9507	1.7009
TCGA-EW-A1P6	2.8361	0.9191
TCGA-GM-A2DF	0.099	-0.8339
TCGA-A8-A09Q	2.7292	-0.1504
TCGA-AC-A2FF	2.3451	1.8282
TCGA-BH-A18J	1.9675	1.4808
TCGA-C8-A12W	4.3342	2.2543
TCGA-A2-A0YJ	2.4518	1.9264
TCGA-D8-A1XD	3.4318	0.6969
TCGA-AQ-A1H2	1.5902	0.9038
TCGA-AR-A24O	3.0533	2.3019
TCGA-A8-A0AD	2.9911	1.1897
TCGA-A7-A3J1	3.0428	2.1862
TCGA-A2-A0EQ	2.2051	1.3454
TCGA-B6-A402	3.1162	1.9564
TCGA-LD-A7W6	2.8819	1.3225
TCGA-BH-A1FR	3.0446	0.8726
TCGA-A8-A08B	3.1261	3.1892
TCGA-D8-A1XK	2.685	2.982
TCGA-3C-AAAU	3.9626	1.8242
TCGA-BH-A0BT	1.5998	-0.1665
TCGA-AO-A03U	1.5366	0.2154
TCGA-OL-A66H	2.3308	-0.0425
TCGA-AR-A1AJ	3.6054	3.055
TCGA-E9-A5UP	2.183	-0.6416
TCGA-AC-A8OS	1.46	0.8082
TCGA-BH-A0DT	2.3251	0.7146
TCGA-LL-A7SZ	0.8408	-1.6394
TCGA-AN-A0G0	3.7825	2.7951
TCGA-E2-A14Q	1.7009	0.8726
TCGA-A2-A1FZ	3.1924	0.9343
TCGA-OL-A5D6	0.7916	0.0014
TCGA-BH-A0B9	2.3423	1.3623
TCGA-AR-A1AQ	2.4225	1.4911
TCGA-E9-A226	2.7572	3.0654
TCGA-E9-A1NF	1.334	1.1447
TCGA-BH-A0DL	3.3264	2.4623
TCGA-A2-A4S1	0.8082	-0.4131
TCGA-E2-A1B0	3.2737	2.3898
TCGA-C8-A26W	2.9413	2.945
TCGA-D8-A1JH	2.6418	1.1897
TCGA-AO-A12D	1.595	1.3623
TCGA-AC-A2FM	3.5779	0.8246
TCGA-E9-A3Q9	0.7407	-1.5951
TCGA-AN-A0AL	2.004	1.6327
TCGA-B6-A0WW	2.4701	-0.8599
TCGA-OL-A5RZ	1.4281	-0.2328
TCGA-D8-A1JL	0.537	2.9581
TCGA-A7-A0DB	1.5481	0.7321
TCGA-AR-A1AV	3.866	2.2513
TCGA-D8-A1JC	4.0739	2.3164
TCGA-EW-A1OW	4.061	1.8918
TCGA-B6-A2IU	3.1311	1.0293
TCGA-C8-A137	1.7009	1.7744
TCGA-C8-A1HN	4.0436	2.2573
TCGA-E2-A1L8	1.9895	-0.3201
TCGA-A7-A26J	3.0422	1.7068
TCGA-BH-A0E7	2.3366	0.7832
TCGA-D8-A73U	1.5854	1.1577
TCGA-D8-A27N	1.6558	1.1641
TCGA-LL-A8F5	1.6281	-0.9132
TCGA-C8-A8HP	1.7995	0.044
TCGA-BH-A6R8	2.1509	-0.5543
TCGA-BH-A202	4.2488	1.8119
TCGA-OL-A5RY	1.4808	0.9789
TCGA-OL-A66I	2.7357	0.2998
TCGA-C8-A12V	1.3735	1.7403
TCGA-A7-A26E	1.9073	1.0103
TCGA-AO-A03N	1.614	0.1388
TCGA-BH-A42T	4.0739	1.4494
TCGA-BH-A0HO	2.4198	0.1519
TCGA-A8-A09X	2.3048	1.8404
TCGA-AR-A254	2.9729	2.5756
TCGA-BH-A0HL	3.6939	1.1316
TCGA-AC-A3HN	2.6715	2.0289
TCGA-BH-A0H7	2.3019	0.3231
TCGA-AC-A6IW	2.3451	1.2333
TCGA-EW-A1J5	3.981	2.8076
TCGA-OL-A6VO	4.1732	2.7117
TCGA-AC-A23E	2.2206	0.099
TCGA-EW-A1J1	1.5415	0.7579
TCGA-A8-A09W	2.7095	0.058
TCGA-B6-A0IM	3.8239	2.0218
TCGA-BH-A1F0	3.7475	2.3164
TCGA-EW-A1PD	4.4913	1.2576
TCGA-D8-A1J8	3.3577	2.8562
TCGA-B6-A0RV	1.5514	1.3567
TCGA-AR-A24N	3.8075	2.3508
TCGA-AQ-A1H3	3.7215	2.0946
TCGA-C8-A131	2.4008	1.5316
TCGA-AR-A2LQ	1.5366	0.346
TCGA-A2-A0EP	1.6045	0.8647
TCGA-BH-A0H3	2.5313	0.6332
TCGA-BH-A1FJ	4.5964	2.081
TCGA-B6-A40C	2.8897	1.0433
TCGA-E2-A1IF	1.9859	0.5763
TCGA-AO-A0JE	3.1195	1.9111
TCGA-S3-AA11	2.727	1.2209
TCGA-D8-A27I	2.8422	0.8805
TCGA-AC-A3W6	1.7702	0.1124
TCGA-AR-A0TX	2.0289	2.1345
TCGA-AO-A0JG	1.3051	0.8408
TCGA-A8-A07L	-1.0262	1.9859
TCGA-A2-A0SV	3.644	0.547
TCGA-XX-A899	2.4675	1.6045
TCGA-A7-A5ZW	1.6512	-0.8339
TCGA-E9-A1NE	2.5263	1.3283
TCGA-BH-A0BR	2.5238	1.0151
TCGA-Z7-A8R6	3.5111	1.9638
TCGA-OL-A5D8	2.5238	0.517
TCGA-B6-A0IJ	-0.1187	2.4117
TCGA-OL-A5D7	2.7636	0.8726
TCGA-A2-A1FW	2.5852	3.8431
TCGA-A7-A13H	1.6558	0.517
TCGA-A2-A0EO	1.4652	-0.3201
TCGA-BH-A0BF	1.3846	1.6234
TCGA-AR-A5QN	3.136	2.0844
TCGA-AQ-A54N	0.6969	-1.2828
TCGA-A2-A04V	1.6649	-0.013
TCGA-E2-A14T	3.2313	2.4225
TCGA-E9-A295	2.6067	-0.1993
TCGA-EW-A1P4	1.3167	3.1212
TCGA-A2-A0T4	2.971	0.0854
TCGA-BH-A0W3	4.3435	2.9637
TCGA-BH-A42U	0.6969	-2.4659
TCGA-A8-A08G	3.6589	2.7615
TCGA-BH-A0BQ	2.5658	-0.0425
TCGA-EW-A1IX	2.694	0.679
TCGA-GM-A5PV	1.2209	-1.0862
TCGA-B6-A401	2.2019	-0.3022
TCGA-C8-A1HG	3.3966	1.884
TCGA-E2-A10E	3.1112	1.8282
TCGA-A7-A0CG	1.5854	0.5859
TCGA-A2-A0CS	2.3164	-0.0725
TCGA-A1-A0SG	2.7615	0.5271
TCGA-E2-A1BD	2.3677	0.9493
TCGA-E2-A14Z	1.7702	1.7316
TCGA-A2-A04R	3.5161	1.0915
TCGA-A7-A425	2.7007	0.3796
TCGA-E9-A1RF	1.2815	1.7617
TCGA-B6-A408	1.8444	-0.6873
TCGA-AN-A0AM	1.9564	1.0642
TCGA-D8-A1JU	1.6187	0.3907
TCGA-AR-A1AH	2.9784	2.3953
TCGA-BH-A1EN	1.9859	-0.6416
